,date,coronavirus,short breath,covid-19,state,positive,positiveIncrease,negative,negativeIncrease
802,2020-09-20,3,76,18,IN,111505.0,746,1190435.0,8579
803,2020-09-27,4,53,16,IN,117450.0,901,1241410.0,7569
804,2020-10-04,4,27,17,IN,125146.0,1087,1292917.0,8501
805,2020-10-11,4,30,21,IN,134981.0,1570,1351201.0,9973
806,2020-10-18,5,29,21,IN,147582.0,1605,1407855.0,7905
807,2020-10-25,5,29,21,IN,162607.0,2153,1466861.0,8984
808,2020-11-01,4,24,16,IN,182108.0,2750,1527836.0,8186
809,2020-11-08,6,39,26,IN,210374.0,4652,1599566.0,10890
810,2020-03-08,77,48,42,OH,0.0,0,10.0,1
811,2020-03-15,100,100,91,OH,36.0,23,139.0,89
812,2020-03-22,74,87,97,OH,351.0,104,140.0,0
813,2020-03-29,58,70,87,OH,1653.0,247,19012.0,0
814,2020-04-05,57,51,70,OH,4043.0,304,39713.0,1581
815,2020-04-12,43,69,56,OH,6604.0,354,56639.0,2418
816,2020-04-19,36,44,46,OH,11602.0,1380,75697.0,6878
817,2020-04-26,21,27,45,OH,15963.0,376,100423.0,4027
818,2020-05-03,18,54,39,OH,19914.0,579,130252.0,3768
819,2020-05-10,16,50,40,OH,24081.0,384,180781.0,7808
820,2020-05-17,13,60,33,OH,27923.0,449,236539.0,17311
821,2020-05-24,11,45,31,OH,31911.0,503,292642.0,7556
822,2020-05-31,9,37,26,OH,35513.0,479,355395.0,8482
823,2020-06-07,8,49,32,OH,38476.0,365,430548.0,10133
824,2020-06-14,9,15,40,OH,41148.0,300,505072.0,7022
825,2020-06-21,11,41,42,OH,44808.0,546,598413.0,12710
826,2020-06-28,14,33,44,OH,50309.0,854,706456.0,11072
827,2020-07-05,14,56,45,OH,57151.0,968,811611.0,19424
828,2020-07-12,14,61,47,OH,65592.0,1378,940794.0,21973
829,2020-07-19,11,32,42,OH,74932.0,1110,1087982.0,23368
830,2020-07-26,10,33,38,OH,84073.0,889,1242358.0,31720
831,2020-08-02,8,43,100,OH,93031.0,944,1424515.0,23699
832,2020-08-09,7,49,30,OH,100848.0,879,1567700.0,23176
833,2020-08-16,6,22,25,OH,108287.0,613,1721358.0,26682
834,2020-08-23,5,23,22,OH,114802.0,637,1869087.0,22624
835,2020-08-30,5,16,22,OH,122262.0,922,2074598.0,24812
